"SYMBOL","GSM93789.CEL.gz","GSM93920.CEL.gz","GSM93921.CEL.gz","GSM93922.CEL.gz","GSM93923.CEL.gz","GSM93924.CEL.gz","GSM93925.CEL.gz","GSM93926.CEL.gz","GSM93927.CEL.gz","GSM93928.CEL.gz","GSM93929.CEL.gz","GSM93932.CEL.gz","GSM93938.CEL.gz","GSM93939.CEL.gz","GSM93941.CEL.gz","GSM93943.CEL.gz","GSM93944.CEL.gz","GSM93946.CEL.gz","GSM93948.CEL.gz","GSM93950.CEL.gz","GSM93952.CEL.gz","GSM93954.CEL.gz"
"A1BG",4.0350986777265,3.10682392047332,3.11811131600239,3.66099334562176,3.33599424178663,3.60388829514869,3.19182955485039,3.41300474297748,3.47933846675017,3.51667071818902,3.45228480373213,3.38934858151453,3.398257879463,3.11328051836421,3.32052754139248,3.28616893278256,3.10888677941118,3.16601508132478,3.20650192675236,3.11132581668854,3.36834229086445,3.34702557459531
"A1BG-AS1",2.94698508432349,2.71615771210865,2.72249980488536,3.40460910441027,2.69178445301868,3.20810946490055,2.84233126222329,2.89696037975072,3.08823126655332,2.6589035656851,3.13912586822809,2.5676660066705,2.31538777600703,2.63963497812569,3.10992380687731,2.49435977080836,2.47352990685835,2.95099735914364,2.78178641040617,2.65456754697885,2.81939967254285,2.34309805570743
"A1CF",3.72899763635407,7.37043074839213,7.17265964944288,4.98494842722081,6.51242674829677,5.14782046685838,2.94232447027246,5.10334045054422,6.51358242188992,7.24679782545278,6.28011623688022,7.12299974469814,7.68897435825171,7.81066018285343,7.61785006230305,7.53025049564525,7.75353002095519,7.61182594316979,7.89253939524908,7.71436012650021,7.800454225297,7.75146895430587
"A2M",6.93119471955325,6.80560416843972,6.34362429749245,7.16426206478765,6.69394652017145,6.73577490932523,6.74415083919323,6.5438062788866,6.18928165415147,6.52923174024134,7.08041208450962,6.14273004146692,6.70059239033918,6.01942421055004,6.48267936982704,6.04067716265865,5.81903788532833,5.84572089710528,5.79978003267142,6.27448729778005,5.91047516456299,6.28338349039441
"A2M-AS1",2.96367342190871,2.42883489296899,2.66572887064273,2.98858188652952,2.98663140218925,2.83704357816746,4.77642285541965,3.21104304234625,2.53813665395715,2.57593736287478,2.89658992638257,2.37590270772188,2.39566591663427,2.36117593188446,2.69194473689894,2.40267015590721,2.52654012074573,2.17581960525347,2.60309413928709,2.35272561227624,2.69684098425016,2.60293795289555
"A2ML1",2.65680230478298,2.6379662209406,2.63946634746492,2.57163351915059,2.50418882683821,2.55584202551409,2.4805932005971,2.62283764823472,2.51328738628704,2.45902526538026,2.39415297297203,2.40552448860482,2.62661903980363,2.42417097703924,2.47058204508683,2.39031240781299,2.4114025064053,2.53331835583414,2.51427020992367,2.31525151942188,2.69236832164553,2.48387767718426
"A4GALT",5.73586754695935,4.58037936113828,4.85136503039194,5.52897849624793,4.72828364703329,5.30674635403159,5.31880943080523,5.2691126195208,5.15657904984002,5.30935678199093,5.50762841830994,5.11076031447144,4.43921725341853,4.37898238074001,5.0749185554151,4.7777962934476,4.7424484420214,4.8299697015941,4.99629375465918,4.30571713181778,5.2552025705777,5.19885911278445
"A4GNT",3.41342537932086,2.56698027410595,2.37297690304288,2.5498725004596,2.4613094207323,2.59242429121786,2.61393979637669,2.80315552837547,2.33850747535094,2.57333669469902,2.81731069682036,2.69139384789144,2.20273173949736,2.69214859551316,2.34290335427702,2.37944268974798,2.59627433317692,2.40931169953496,2.8085868409157,2.85231780951733,2.26933896933593,2.60319906288099
"AA06",3.39970213928967,3.06178979026047,3.37385676497425,3.41048515468617,3.28549936611116,3.11974876271101,2.9212047087385,3.40988433406015,3.17462913313889,3.4350462231718,3.54790371317088,3.33140701097329,3.50610176095604,2.91544140670493,3.25512755437976,3.32347516129983,3.03116563604075,3.01633068129018,3.33102753604053,3.4545675375051,3.17980349465981,3.07187197428849
"AAAS",6.19502670519742,5.77698379280079,5.40795431321293,6.25121524244623,5.34536885570246,5.49009021997122,5.73934900315027,6.00683643697247,5.72006292952693,6.03564854581998,5.95455565522163,5.80407909565571,5.9043498611752,5.68602833721422,5.69334987258095,5.65845487902996,5.37345036353526,5.3946832073919,5.80098609723558,5.83922235799774,5.78690780183421,5.44221343154871
