"Gene","GS","GS_p","MM","MM_p"
"CA2",-0.692595095574596,2.7284190780303e-57,-0.824953739393178,1.11711352679881e-98
"KRT23",0.582653693842582,5.1960205556573e-37,0.796918696839713,2.15160736665608e-87
"MT1M",-0.647527591012634,5.82271377780463e-48,-0.784117150711781,8.14988475795123e-83
"FOXQ1",0.72324868770329,1.099456953678e-64,0.846679517234438,6.55175004956659e-109
"DPEP1",0.641509686073448,7.81496069679887e-47,0.822127586395196,1.88234777885857e-97
"ANPEP",-0.700344823594891,4.52519902379557e-59,-0.811407384653149,5.45477411455686e-93
"LY6G6D",0.571938053512001,1.97346764520256e-35,0.810309302975624,1.50546291794239e-92
"MT1H",-0.613297798660821,7.23469942440351e-42,-0.774250809373335,1.70430484135028e-79
"SST",-0.667542038352137,6.66685903470832e-52,-0.740779727024747,2.21833335433867e-69
"TESC",0.692869198742356,2.36541669231251e-57,0.777194067950208,1.81505363078447e-80
"CRNDE",0.65790976702708,5.73229294799079e-50,0.729115811018982,3.24243413568781e-66
"MT1G",-0.583226383436465,4.26186893813192e-37,-0.726017157266465,2.10885586055534e-65
"ASCL2",0.68403802587175,2.17373759624877e-55,0.885816439712397,4.10739707774895e-132
"OTOP2",-0.73625580551587,3.92202635008739e-68,-0.808946806685483,5.2570875782232e-92
"IL1R2",-0.615228273927227,3.43177775520311e-42,-0.789281326233483,1.26663660163774e-84
"CRIPTO",0.579422046873515,1.57828500530046e-36,0.776854507924574,2.35430168067415e-80
"FABP6",0.581405294938449,7.99293562366041e-37,0.731577699625415,7.18993087223621e-67
"TGFBI",0.701044449817332,3.10520310868033e-59,0.811426545604882,5.35867914879457e-93
"CLDN1",0.723798119707923,7.93509798379047e-65,0.846878651837135,5.19186022194026e-109
"SLC4A4",-0.748766112418064,1.19911004531349e-71,-0.879793362315886,4.99971579388968e-128
"AZGP1",0.553569910917116,7.44586220392521e-33,0.72128169947382,3.51082224073777e-64
"EPHX4",0.656779218359536,9.5656237505342e-50,0.749981841853076,5.32370930707203e-72
"GPAT3",-0.710628714319746,1.59437200048479e-61,-0.828558189352252,2.82670341781567e-100
"SRPX2",0.590893954035397,2.88814290705017e-38,0.75525390287232,1.48960735777284e-73
"CDH3",0.745482772882419,1.0500181456866e-70,0.817498229413935,1.72824268538728e-95
"DACH1",0.583672444377363,3.65125750339434e-37,0.768921722934632,9.03011184538256e-78
"ETV4",0.741982223423605,1.02338423443795e-69,0.886087643591058,2.65599746483417e-132
"MT1F",-0.582933616101944,4.71652366124227e-37,-0.717268160131007,3.63841027650592e-63
"RUNDC3B",-0.71853475711379,1.74724124063368e-63,-0.779166198959445,3.9699789994394e-81
"APCDD1",0.507009723871784,5.42097318043024e-27,0.717002491489737,4.24138346817967e-63
"MT1E",-0.606266758747579,1.04816987024028e-40,-0.79335334364391,4.36909457186882e-86
"ALKAL2",-0.655880675363091,1.43475771241953e-49,-0.707572715153383,8.76384000188977e-61
"CCDC68",-0.695752582980896,5.21713525800327e-58,-0.861561279286855,6.94652649467678e-117
"CDKN2B",-0.722380906237321,1.83724892132953e-64,-0.823016853973821,7.78216507207122e-98
"NKD2",0.637162718543629,4.92044171177165e-46,0.841256215646784,3.26498353214113e-106
"DDX60",-0.613034813828275,8.00519767352642e-42,-0.773730056610118,2.52410281856649e-79
"CEMIP",0.733457992935402,2.25014170517585e-67,0.814990878339781,1.89495096239405e-94
"MMP28",-0.715230951043842,1.17390387902721e-62,-0.86097080109551,1.4984528355922e-116
"PMEPA1",0.636586770826168,6.26492035730557e-46,0.788298158211197,2.8239484913213e-84
"ARID3A",0.62043894088151,4.46653073335799e-43,0.817041387961962,2.68091005666977e-95
"SAMD9",-0.538333502917475,7.78540330925386e-31,-0.71701525731578,4.21026322415048e-63
"TNFRSF12A",0.716215788101267,6.67211984313816e-63,0.810099762529392,1.82589679729642e-92
"EPB41L3",-0.710415918142669,1.7965405146639e-61,-0.847000617338669,4.5016377048087e-109
"PTGDR",-0.635219008179086,1.10960359124559e-45,-0.728595707826576,4.44781519576845e-66
"ABHD3",-0.679512885624344,2.07234760549345e-54,-0.874487039502232,1.3194222897481e-124
"EVA1A",0.621997100694195,2.40944719676699e-43,0.742724583317479,6.33402832911716e-70
"SPINK2",-0.611346326651908,1.52960972972513e-41,-0.712874821985119,4.49206986597774e-62
"MSX2",0.627447602831124,2.70561225927255e-44,0.721367463933802,3.33821293634565e-64
"PROX1",0.559889052280325,1.00816313045645e-33,0.74677443797199,4.48970713654725e-71
"GALNT6",0.635642569654421,9.29874210425384e-46,0.729367076153258,2.78251829806261e-66
"TRGC2",-0.541636819243654,2.89863110115706e-31,-0.727751479596491,7.41812451359346e-66
"PPM1H",0.740371100405301,2.88254454955306e-69,0.873618516469683,4.62983102354397e-124
"IQGAP2",-0.636418278282375,6.72303022764993e-46,-0.815142485573924,1.64121415675193e-94
"GPR143",0.487364754579114,8.88890592967662e-25,0.716676644653419,5.11780643869832e-63
"TMT1A",-0.722127422763053,2.13375301255362e-64,-0.832370196442113,5.26492095127278e-102
"EMP1",-0.627451696610201,2.70112820719508e-44,-0.714468245181769,1.81527766499121e-62
"GTF2IRD1",0.717891818797113,2.53673850160323e-63,0.908615068996914,5.72978498753381e-150
"SECTM1",-0.640023638198027,1.47078337477227e-46,-0.779564421403051,2.91520616235825e-81
"GDPD5",0.574974144379064,7.13801914332493e-36,0.778396659804619,7.19736102595062e-81
"MACC1",0.651363887732201,1.07837521603799e-48,0.810714811351277,1.03559334059796e-92
"CPNE1",0.566315164709614,1.26231042327818e-34,0.80042894080787,1.04599407886594e-88
"TGIF2",0.70930789030618,3.33924054761887e-61,0.90576627043358,1.70881160148562e-147
"NKD1",0.543025768996044,1.90700649458714e-31,0.754344789894292,2.77783165450051e-73
"SMIM14",-0.718350881839902,1.94405131667218e-63,-0.854809504108297,3.71676733564832e-113
"TLR3",-0.656317143822093,1.17850097149781e-49,-0.801149692161464,5.5800029804963e-89
"FRMD3",-0.571770714124827,2.08659984279465e-35,-0.712424289194058,5.7972305571701e-62
"PLCL2",-0.681582390185672,7.4269900698466e-55,-0.887209984707814,4.32041718097295e-133
"MIR22HG",-0.695901840532522,4.82211459449732e-58,-0.85431441022403,6.85640745289681e-113
"ZNRF3",0.574263413534755,9.06521764420095e-36,0.767806268386116,2.04510693910561e-77
"SLC41A2",-0.638767622826549,2.50312315685386e-46,-0.820075324717053,1.41858458920688e-96
"ESM1",0.636840830747745,5.63202934271867e-46,0.706053089423606,2.02845614707453e-60
"ENC1",0.702798484897111,1.20213750347406e-59,0.75626644016489,7.41732687746587e-74
"UGDH",-0.689872326620603,1.11701751788137e-56,-0.821262970490049,4.42198029560912e-97
"CPM",-0.694947376402062,7.97151869689781e-58,-0.839457783808779,2.43269601546039e-105
"ACSL6",0.569596523217694,4.2926513815311e-35,0.766321350225005,6.02906583414017e-77
"ADH1A",-0.727881154002121,6.85845620292881e-66,-0.829141106223789,1.54715812306965e-100
"TNFSF10",-0.645965624877941,1.14893078788073e-47,-0.809256418663881,3.96024428430132e-92
"HPGDS",-0.641547865222483,7.68867098365089e-47,-0.720814822436427,4.61799825963481e-64
"SPPL2A",-0.734815373577732,9.66774636128274e-68,-0.870583588041213,3.46280692052982e-122
"SULT2B1",0.62350771000919,1.32007593708893e-43,0.773561197413721,2.86625473675578e-79
"LARGE2",0.552309830836537,1.10375164192411e-32,0.715020958004148,1.32378302878873e-62
"LZTS3",0.60119730720328,6.91430307551783e-40,0.724719903260808,4.58325361842918e-65
"SLC22A3",0.586143171434245,1.54373793127386e-37,0.746355516842348,5.91742652710214e-71
"PGM1",-0.644127083346863,2.54402738204243e-47,-0.73193034850833,5.78667043052604e-67
"EIF4E3",-0.68008739633717,1.55996646372409e-54,-0.859499015244623,1.00272215137704e-115
"FAS",-0.591716740160659,2.15435617352117e-38,-0.796737930971272,2.51008860961427e-87
"FAM107B",-0.596441577143545,3.93703728982206e-39,-0.767264903683646,3.03600300668596e-77
"CRIPTO3",0.52641984998366,2.51255211041158e-29,0.722490198613603,1.72238584331721e-64
"RNF43",0.598987388849815,1.55722766596244e-39,0.817256360152274,2.18083721758746e-95
"TENT5C",-0.549404043322501,2.71860879145322e-32,-0.746616134902378,4.98378765841761e-71
"UNC5CL",0.54298549433587,1.93035344476392e-31,0.711546963829021,9.5130414555107e-62
"CCND1",0.682392668696564,4.95816034477976e-55,0.770231986474475,3.43639757243661e-78
"TOMM34",0.640192505661915,1.36904671253475e-46,0.862813089443031,1.34528633655847e-117
"AHCY",0.632577225768325,3.31995862319857e-45,0.840607593558153,6.75616848416138e-106
"ANXA9",0.556202744987363,3.25357459823948e-33,0.766196496890232,6.60039274301759e-77
"LXN",-0.573638884376083,1.11784258004568e-35,-0.75048288752833,3.80437792389606e-72
"AXIN2",0.570938617369372,2.75178118287083e-35,0.760218774012054,4.71890556291227e-75
"CSE1L",0.699441997653826,7.34486316623133e-59,0.883199429964089,2.60800021831539e-130
"PLEKHG4",0.57999756317436,1.29613035417494e-36,0.70194340049279,1.91093462777723e-59
"HSPH1",0.628471637458618,1.78540366135421e-44,0.806367928404658,5.4548873944156e-91
"HPSE",-0.522578507639084,7.48171057588457e-29,-0.738212922515627,1.1402692106071e-68
"GPSM2",0.565811566323486,1.48797735616846e-34,0.763689216874063,4.01805950830031e-76
"GTF3A",0.667976127667259,5.43295955485399e-52,0.851732517981531,1.61109106041934e-111
"TMEM140",-0.60385320418795,2.58426671390045e-40,-0.756867086765485,4.89673192045335e-74
"HOXD1",-0.657157281443569,8.06219111823575e-50,-0.806136388454873,6.71830994972541e-91
"RNF125",-0.590693866520718,3.10113743230589e-38,-0.807855298640749,1.42122721067197e-91
"ZNF239",0.622155664501077,2.2623234764189e-43,0.704646131184143,4.39074035742594e-60
"RAB27A",-0.64056715634209,1.16756828023965e-46,-0.80713399799032,2.73255995025337e-91
"C2",0.62926685613849,1.29145642710638e-44,0.735590580088451,5.95359228182702e-68
"BDKRB1",-0.612024320641132,1.17996181695783e-41,-0.714156975464903,2.16782665390736e-62
"SLC5A6",0.611977958427989,1.20111364125112e-41,0.849768483070105,1.708822205738e-110
"MEX3A",0.616339192722645,2.22898757603718e-42,0.791243655879648,2.52381619958238e-85
